dates;tmean;tmin;tmax;prec;globrad;vappres;windspeed
2020-02-03;1.16934027777778;-2.945;9.26;0;7.9382958;0.590489693136615;0.00729166666666667
2020-02-04;1.77600694444444;-0.874;6.505;2.2;9.1119198;0.401410946650342;3.09445486111111
2020-02-05;-0.676288194444444;-2.063;0.598;0;4.120917;0.220171550577033;3.88129166666667
2020-02-06;-0.445059027777778;-5.436;7.79;0;11.7801189;0.187404638698482;0.132135416666667
2020-02-07;1.34286805555556;-2.996;9.79;0;11.4176763;0.284428181773816;0.0136319444444444
2020-02-08;0.599128472222222;-3.353;7.85;0;11.2704531;0.327881259067332;0.0508090277777778
2020-02-09;-0.578729166666667;-4.333;6.026;0;10.2893484;0.373041939721162;0.0292118055555556
2020-02-10;0.0968368055555556;-3.355;4.306;0;5.7455244;0.488449650744076;0.0409305555555556
2020-02-11;3.59325347222222;-1.345;8.91;0;10.420236;0.430739693976334;1.66445486111111
2020-02-12;2.12439930555556;-2.418;5.989;0;10.7017317;0.216927932346119;1.89939930555556
2020-02-13;1.12903125;-3.617;6.474;0;9.469845;0.25729749073846;0.556545138888889
2020-02-14;1.78644097222222;-2.926;8.65;0.2;12.9325803;0.423905893704363;1.13195486111111
2020-02-15;1.86322916666667;-2.822;9.37;0;10.6533045;0.348832615995137;0.0937847222222222
2020-02-16;1.77493055555556;-2.152;8.33;0;8.9809143;0.430648279539679;0.03196875
2020-02-17;1.98916319444444;-0.569;7.25;0;8.9095005;0.567097116078431;0.0994826388888889
2020-02-18;4.16035069444444;0.177;10.65;0;13.1006871;0.436679837510864;0.420184027777778
2020-02-19;1.56240972222222;-1.287;7.21;0;7.0927275;0.342820065535939;0.870243055555556
2020-02-20;0.8304375;-4.195;7.54;0;13.1962521;0.262855600840612;0.350909722222222
2020-02-21;1.77476736111111;-4.573;9.16;0;13.538355;0.308982882142732;1.30717708333333
2020-02-22;3.06789236111111;-2.144;11.12;0;13.1433225;0.385828227464432;0.113024305555556
2020-02-23;3.60305555555556;-1.105;12.09;0;13.8822705;0.482986999877121;0.0701770833333333
